"subj","wordNo","readTimes","word","item","quant","pred","itemtype"
"subj10",7,485,"each","filler-item25",NA,NA,"filler"
"subj10",8,515,"of","filler-item25",NA,NA,"filler"
"subj10",9,430,"its","filler-item25",NA,NA,"filler"
"subj10",10,441,"books","filler-item25",NA,NA,"filler"
"subj10",11,484,"free","filler-item25",NA,NA,"filler"
"subj10",12,430,"of","filler-item25",NA,NA,"filler"
"subj10",13,425,"charge.","filler-item25",NA,NA,"filler"
"subj10",1,737,"Each","filler-item7",NA,NA,"filler"
"subj10",2,539,"of","filler-item7",NA,NA,"filler"
"subj10",3,649,"John's","filler-item7",NA,NA,"filler"
"subj10",4,855,"friends","filler-item7",NA,NA,"filler"
"subj10",5,710,"came","filler-item7",NA,NA,"filler"
"subj10",6,460,"to","filler-item7",NA,NA,"filler"
"subj10",7,485,"his","filler-item7",NA,NA,"filler"
"subj10",8,439,"wedding","filler-item7",NA,NA,"filler"
"subj10",9,466,"last","filler-item7",NA,NA,"filler"
"subj10",10,420,"April.","filler-item7",NA,NA,"filler"
"subj10",1,1101,"The","filler-item19",NA,NA,"filler"
"subj10",2,670,"mothers","filler-item19",NA,NA,"filler"
"subj10",3,600,"ran","filler-item19",NA,NA,"filler"
"subj10",4,461,"themselves","filler-item19",NA,NA,"filler"
"subj10",5,470,"ragged","filler-item19",NA,NA,"filler"
"subj10",6,466,"chasing","filler-item19",NA,NA,"filler"
"subj10",7,414,"their","filler-item19",NA,NA,"filler"
"subj10",8,365,"toddlers.","filler-item19",NA,NA,"filler"
"subj10",1,919,"The","filler-item1",NA,NA,"filler"
"subj10",2,775,"plants","filler-item1",NA,NA,"filler"
